"","time","A","P","DOC","I0","SA","zmix","zmax","Pin","DOCin","V_lake","V_epi","V_ratio","Qin","kDOC","kA","lA","pA","hA","mA","decay","cA","v","rec","Permanent_Identifier"
"43",10000,150.497226979016,1.14670628306854,1.07944743776153,187.610385932922,21213.03,2.75846293600282,2.75846293600282,26.54454,2.94580084787637,39010.2380102105,39010.2380102105,1,20.1087900821918,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"33528545"
"44",10000,1.27228836970946,1.95230364973752,2.26729109759833,100.979594726563,23000.07,3.48838909379566,3.48838909379566,2.15226,6.00442689013326,53488.7955630244,53488.7955630244,1,28.9233756986301,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47725151"
"45",10000,1.3101309909209e-29,2.09874654610988,2.22598782065716,81.4249513244629,55000,2.82853163422264,2.82853163422264,2.08704,5.37994535300812,103712.826588163,103712.826588163,1,65.2465753424657,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47719471"
"46",10000,8.35840733122786,2.92264970056154,2.20195900355295,75.5873160552979,17045.44,4.0657224009914,4.0657224009914,4.82628,7.97599727036125,46201.3514951699,46201.3514951699,1,15.6911447671233,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"37100451"
"47",10000,1.09299282569038,2.44373666367729,1.84499887363585,81.5055274200439,41000,4.43185227813611,4.43185227813611,2.64141,5.59331284204991,121137.295602387,121137.295602387,1,53.1315068493151,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47724789"
"48",10000,111.641561225605,4.19075112230177,2.1164186056259,61.728127374649,22305.18,3.07481301994202,3.07481301994202,25.99017,6.5533929016055,45722.8385841002,45722.8385841002,1,19.4330061369863,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"33530287"
"49",10000,90.8400135012848,1.10809395473456,0.447985851004227,178.004815788269,11000,4.33967785277765,4.33967785277765,27.13152,1.97285971597614,31824.3042537028,31824.3042537028,1,8.31780821917808,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"52843921"
"50",10000,1.37296517951663,1.39894519588695,0.52917472276601,109.770443267822,162000,8.7947583862785,11,2.00757949683579,3.86381858708148,1188000,949833.905718078,0.799523489661682,166.42793341785,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47720316"
"51",10000,22.3088629034041,2.66003026574591,1.05966132240714,74.0385884094238,140000,7.20749955004491,7.20749955004491,9.03297,4.85080516168372,672699.958004192,672699.958004192,1,167.232876712329,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"89361969"
"52",10000,11.6877288509968,2.67698063488376,1.32242802149745,74.6630792999268,56000,6.15401693315906,6.15401693315906,5.60892,5.36521625845555,229749.965504605,229749.965504605,1,66.8931506849315,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"89361857"
